"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"998",571437,"Aaron Altherr","998","100.0","0.172","0.134","0.240","0.306","0.271","0.310","0.202","36","209","82.8","12.5","2232","88.6","88.07","143","442","553","-0.5","5.97","107","151","113","147","299","320","293"
"987",446359,"Zack Cozart","987","100.0","0.219","0.143","0.244","0.362","0.288","0.310","0.244","49","224","81.9","18.8","2262","89.0","88.36","77","428","552","-0.6","5.99","106","151","112","145","301","318","293"
"1321",605113,"Nick Ahmed","1321","100.0","0.226","0.197","0.251","0.424","0.300","0.309","0.246","71","314","82.3","14.4","2261","88.6","87.92","167","635","682","-0.7","5.91","107","150","108","146","303","319","295"
"1153",518960,"Jonathan Lucroy","1153","100.0","0.238","0.070","0.280","0.309","0.266","0.308","0.264","61","256","82.3","18.2","2274","89.3","88.82","61","482","669","-0.5","6.04","108","150","116","146","298","315","280"
"1359",608365,"Addison Russell","1359","100.0","0.271","0.119","0.332","0.389","0.319","0.308","0.248","82","303","81.7","17.6","2210","88.9","88.27","170","632","725","-0.6","5.90","107","150","111","146","298","316","293"
"826",570267,"Domingo Santana","826","100.0","0.249","0.106","0.367","0.354","0.291","0.308","0.230","47","189","84.3","10.8","2187","88.8","88.21","139","388","437","-0.6","5.94","107","149","114","145","302","319","295"
"987",576397,"Jedd Gyorko","987","100.0","0.244","0.157","0.289","0.401","0.314","0.308","0.226","53","217","82.8","16.6","2226","88.3","87.91","123","467","519","-0.4","6.00","108","151","115","147","308","322","299"
"1139",543257,"Robbie Grossman","1139","100.0","0.259","0.115","0.321","0.374","0.313","0.307","0.245","63","243","81.5","19.5","2210","89.1","88.69","80","462","674","-0.4","6.03","112","150","109","148","291","315","291"
"948",628338,"Guillermo Heredia","948","100.0","0.227","0.085","0.280","0.313","0.283","0.307","0.240","48","211","79.8","12.7","2235","88.9","88.26","77","402","535","-0.6","5.90","104","148","103","144","293","310","279"
"1118",493329,"Yuli Gurriel","1118","100.0","0.309","0.132","0.326","0.442","0.335","0.307","0.278","98","317","85.7","13.8","2218","88.5","87.95","89","569","546","-0.6","6.05","107","150","117","146","295","323","293"
"1512",570560,"Yolmer Sanchez","1512","100.0","0.259","0.146","0.311","0.406","0.307","0.306","0.252","92","355","81.6","14.6","2180","88.3","88.01","158","751","751","-0.3","6.06","110","147","101","146","284","311","293"
"1556",458731,"Brett Gardner","1556","100.0","0.252","0.146","0.277","0.399","0.325","0.305","0.229","81","321","83.4","14.3","2238","89.1","88.49","63","543","1006","-0.6","5.95","111","149","99","149","278","311","291"
"1544",600869,"Jeimer Candelario","1544","100.0","0.226","0.200","0.277","0.426","0.326","0.305","0.210","70","310","81.6","19.2","2153","88.2","87.65","163","646","892","-0.6","6.01","114","148","115","147","290","320","296"
"1708",572821,"Brian Dozier","1708","100.0","0.227","0.192","0.247","0.419","0.316","0.304","0.212","84","370","82.9","19.8","2268","88.5","88.16","157","683","1017","-0.3","6.04","106","152","111","145","298","320","292"
"1406",503556,"Marwin Gonzalez","1406","100.0","0.232","0.124","0.294","0.356","0.292","0.304","0.237","69","298","82.1","12.6","2209","87.5","86.96","142","591","803","-0.5","6.01","108","148","108","148","291","319","292"
"1764",543760,"Marcus Semien","1764","100.0","0.254","0.117","0.300","0.371","0.295","0.303","0.243","100","394","81.9","19.2","2230","87.6","87.04","162","787","977","-0.6","5.95","106","151","112","146","298","317","285"
