"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1739",572041,"A.J. Pollock",2017,"1739","100.0","0.266","0.205","0.291","0.471","0.340","0.341","0.272","113","425","83.0","10.5","2260","88.3","87.64","139","737","995","-0.7","5.90","107","150","107","146","303","320","296"
"2804",605141,"Mookie Betts",2017,"2804","100.0","0.264","0.194","0.268","0.459","0.339","0.341","0.268","166","628","83.6","17.0","2252","89.0","88.44","158","1007","1794","-0.6","5.99","108","150","112","145","290","321","294"
"2125",446359,"Zack Cozart",2017,"2125","100.0","0.297","0.251","0.312","0.548","0.392","0.339","0.260","130","438","81.7","16.3","2196","88.6","88.24","139","868","1249","-0.4","6.11","109","149","111","145","296","315","287"
"1733",407812,"Matt Holliday",2017,"1733","100.0","0.231","0.201","0.273","0.432","0.320","0.338","0.237","86","373","82.5","16.3","2246","88.9","88.20","222","769","961","-0.7","5.97","108","152","118","147","305","327","292"
"2268",621035,"Chris Taylor",2017,"2268","100.0","0.288","0.208","0.361","0.496","0.361","0.338","0.261","148","514","81.3","17.1","2235","88.9","88.30","263","1032","1225","-0.6","5.92","108","150","107","146","299","315","291"
"2515",456715,"Lorenzo Cain",2017,"2515","100.0","0.300","0.140","0.340","0.440","0.347","0.338","0.284","175","584","81.7","13.3","2225","88.9","88.75","245","1240","1268","-0.1","6.11","107","150","112","146","301","320","290"
"1618",664023,"Ian Happ",2017,"1618","100.0","0.253","0.261","0.316","0.514","0.349","0.337","0.240","92","364","81.2","18.4","2157","89.5","89.14","274","797","815","-0.4","6.06","112","148","112","148","294","314","297"
"2006",500871,"Eduardo Escobar",2017,"2006","100.0","0.254","0.195","0.279","0.449","0.320","0.337","0.257","116","457","80.4","20.8","2200","88.5","88.08","236","1049","949","-0.4","6.05","111","148","106","147","289","314","290"
"1593",571437,"Aaron Altherr",2017,"1593","100.0","0.272","0.245","0.328","0.516","0.359","0.337","0.248","101","372","83.3","14.2","2220","88.8","88.33","212","708","878","-0.5","6.09","107","151","114","147","297","318","293"
"2551",605137,"Josh Bell",2017,"2551","100.0","0.255","0.211","0.278","0.466","0.338","0.337","0.262","140","549","82.2","14.2","2162","89.1","88.67","261","1112","1437","-0.4","6.04","115","151","115","149","299","318","297"
